Date,Hami_Video
2018-06-13-00:00,175
2018-06-13-00:05,164
2018-06-13-00:10,157
2018-06-13-00:15,151
2018-06-13-00:20,140
2018-06-13-00:25,138
2018-06-13-00:30,138
2018-06-13-00:35,137
2018-06-13-00:40,128
2018-06-13-00:45,124
2018-06-13-00:50,122
2018-06-13-00:55,117
2018-06-13-01:00,108
2018-06-13-01:05,114
2018-06-13-01:10,111
2018-06-13-01:15,106
2018-06-13-01:20,101
2018-06-13-01:25,96
2018-06-13-01:30,94
2018-06-13-01:35,93
2018-06-13-01:40,94
2018-06-13-01:45,91
2018-06-13-01:50,92
2018-06-13-01:55,91
2018-06-13-02:00,92
2018-06-13-02:05,90
2018-06-13-02:10,84
2018-06-13-02:15,82
2018-06-13-02:20,83
2018-06-13-02:25,76
2018-06-13-02:30,68
2018-06-13-02:35,61
2018-06-13-02:40,61
2018-06-13-02:45,61
2018-06-13-02:50,61
2018-06-13-02:55,60
2018-06-13-03:00,61
2018-06-13-03:05,59
2018-06-13-03:10,61
2018-06-13-03:15,58
2018-06-13-03:20,58
2018-06-13-03:25,56
2018-06-13-03:30,55
2018-06-13-03:35,54
2018-06-13-03:40,56
2018-06-13-03:45,52
2018-06-13-03:50,53
2018-06-13-03:55,54
2018-06-13-04:00,53
2018-06-13-04:05,50
2018-06-13-04:10,50
2018-06-13-04:15,50
2018-06-13-04:20,49
2018-06-13-04:25,50
2018-06-13-04:30,48
2018-06-13-04:35,47
2018-06-13-04:40,46
2018-06-13-04:45,48
2018-06-13-04:50,46
2018-06-13-04:55,44
2018-06-13-05:00,42
2018-06-13-05:05,42
2018-06-13-05:10,40
2018-06-13-05:15,38
2018-06-13-05:20,37
2018-06-13-05:25,38
2018-06-13-05:30,38
2018-06-13-05:35,39
2018-06-13-05:40,42
2018-06-13-05:45,42
2018-06-13-05:50,42
2018-06-13-05:55,40
2018-06-13-06:00,38
2018-06-13-06:05,42
2018-06-13-06:10,41
2018-06-13-06:15,39
2018-06-13-06:20,36
2018-06-13-06:25,35
2018-06-13-06:30,36
2018-06-13-06:35,33
2018-06-13-06:40,33
2018-06-13-06:45,35
2018-06-13-06:50,34
2018-06-13-06:55,34
2018-06-13-07:00,35
2018-06-13-07:05,38
2018-06-13-07:10,37
2018-06-13-07:15,30
2018-06-13-07:20,32
2018-06-13-07:25,35
2018-06-13-07:30,36
2018-06-13-07:35,36
2018-06-13-07:40,36
2018-06-13-07:45,39
2018-06-13-07:50,37
2018-06-13-07:55,38
2018-06-13-08:00,32
2018-06-13-08:05,29
2018-06-13-08:10,31
2018-06-13-08:15,35
2018-06-13-08:20,35
2018-06-13-08:25,32
2018-06-13-08:30,35
2018-06-13-08:35,44
2018-06-13-08:40,48
2018-06-13-08:45,42
2018-06-13-08:50,40
2018-06-13-08:55,41
2018-06-13-09:00,37
2018-06-13-09:05,36
2018-06-13-09:10,37
2018-06-13-09:15,38
2018-06-13-09:20,34
2018-06-13-09:25,32
2018-06-13-09:30,31
2018-06-13-09:35,29
2018-06-13-09:40,31
2018-06-13-09:45,28
2018-06-13-09:50,30
2018-06-13-09:55,26
2018-06-13-10:00,24
2018-06-13-10:05,22
2018-06-13-10:10,23
2018-06-13-10:15,24
2018-06-13-10:20,22
2018-06-13-10:25,30
2018-06-13-10:30,29
2018-06-13-10:35,28
2018-06-13-10:40,31
2018-06-13-10:45,28
2018-06-13-10:50,28
2018-06-13-10:55,30
2018-06-13-11:00,29
2018-06-13-11:05,25
2018-06-13-11:10,25
2018-06-13-11:15,26
2018-06-13-11:20,29
2018-06-13-11:25,29
2018-06-13-11:30,27
2018-06-13-11:35,28
2018-06-13-11:40,28
2018-06-13-11:45,29
2018-06-13-11:50,32
2018-06-13-11:55,33
2018-06-13-12:00,32
2018-06-13-12:05,33
2018-06-13-12:10,34
2018-06-13-12:15,37
2018-06-13-12:20,34
2018-06-13-12:25,33
2018-06-13-12:30,32
2018-06-13-12:35,38
2018-06-13-12:40,38
2018-06-13-12:45,41
2018-06-13-12:50,42
2018-06-13-12:55,41
2018-06-13-13:00,39
2018-06-13-13:05,44
2018-06-13-13:10,46
2018-06-13-13:15,44
2018-06-13-13:20,44
2018-06-13-13:25,43
2018-06-13-13:30,44
2018-06-13-13:35,41
2018-06-13-13:40,36
2018-06-13-13:45,40
2018-06-13-13:50,37
2018-06-13-13:55,32
2018-06-13-14:00,30
2018-06-13-14:05,33
2018-06-13-14:10,35
2018-06-13-14:15,37
2018-06-13-14:20,36
2018-06-13-14:25,37
2018-06-13-14:30,35
2018-06-13-14:35,34
2018-06-13-14:40,33
2018-06-13-14:45,36
2018-06-13-14:50,38
2018-06-13-14:55,35
2018-06-13-15:00,40
2018-06-13-15:05,42
2018-06-13-15:10,38
2018-06-13-15:15,39
2018-06-13-15:20,37
2018-06-13-15:25,40
2018-06-13-15:30,41
2018-06-13-15:35,39
2018-06-13-15:40,40
2018-06-13-15:45,38
2018-06-13-15:50,40
2018-06-13-15:55,37
2018-06-13-16:00,42
2018-06-13-16:05,40
2018-06-13-16:10,44
2018-06-13-16:15,40
2018-06-13-16:20,42
2018-06-13-16:25,40
2018-06-13-16:30,44
2018-06-13-16:35,46
2018-06-13-16:40,49
2018-06-13-16:45,51
2018-06-13-16:50,50
2018-06-13-16:55,51
2018-06-13-17:00,53
2018-06-13-17:05,58
2018-06-13-17:10,52
2018-06-13-17:15,46
2018-06-13-17:20,42
2018-06-13-17:25,43
2018-06-13-17:30,41
2018-06-13-17:35,36
2018-06-13-17:40,34
2018-06-13-17:45,34
2018-06-13-17:50,34
2018-06-13-17:55,31
2018-06-13-18:00,27
2018-06-13-18:05,33
2018-06-13-18:10,32
2018-06-13-18:15,32
2018-06-13-18:20,32
2018-06-13-18:25,42
2018-06-13-18:30,47
2018-06-13-18:35,47
2018-06-13-18:40,43
2018-06-13-18:45,44
2018-06-13-18:50,39
2018-06-13-18:55,45
2018-06-13-19:00,47
2018-06-13-19:05,48
2018-06-13-19:10,48
2018-06-13-19:15,46
2018-06-13-19:20,47
2018-06-13-19:25,49
2018-06-13-19:30,57
2018-06-13-19:35,50
2018-06-13-19:40,51
2018-06-13-19:45,59
2018-06-13-19:50,59
2018-06-13-19:55,58
2018-06-13-20:00,59
2018-06-13-20:05,58
2018-06-13-20:10,64
2018-06-13-20:15,72
2018-06-13-20:20,68
2018-06-13-20:25,73
2018-06-13-20:30,62
2018-06-13-20:35,65
2018-06-13-20:40,66
2018-06-13-20:45,66
2018-06-13-20:50,71
2018-06-13-20:55,71
2018-06-13-21:00,71
2018-06-13-21:05,75
2018-06-13-21:10,72
2018-06-13-21:15,85
2018-06-13-21:20,89
2018-06-13-21:25,89
2018-06-13-21:30,90
2018-06-13-21:35,90
2018-06-13-21:40,95
2018-06-13-21:45,96
2018-06-13-21:50,98
2018-06-13-21:55,100
2018-06-13-22:00,106
2018-06-13-22:05,106
2018-06-13-22:10,116
2018-06-13-22:15,126
2018-06-13-22:20,138
2018-06-13-22:25,138
2018-06-13-22:30,148
2018-06-13-22:35,157
2018-06-13-22:40,154
2018-06-13-22:45,156
2018-06-13-22:50,161
2018-06-13-22:55,155
2018-06-13-23:00,151
2018-06-13-23:05,151
2018-06-13-23:10,154
2018-06-13-23:15,165
2018-06-13-23:20,160
2018-06-13-23:25,158
2018-06-13-23:30,159
2018-06-13-23:35,143
2018-06-13-23:40,119
2018-06-13-23:45,108
2018-06-13-23:50,98
2018-06-13-23:55,84
2018-06-14-00:00,87
2018-06-14-00:05,83
2018-06-14-00:10,81
2018-06-14-00:15,82
2018-06-14-00:20,78
2018-06-14-00:25,71
2018-06-14-00:30,71
2018-06-14-00:35,71
2018-06-14-00:40,71
2018-06-14-00:45,68
2018-06-14-00:50,74
2018-06-14-00:55,72
2018-06-14-01:00,75
2018-06-14-01:05,65
2018-06-14-01:10,66
2018-06-14-01:15,67
2018-06-14-01:20,68
2018-06-14-01:25,64
2018-06-14-01:30,61
2018-06-14-01:35,60
2018-06-14-01:40,61
2018-06-14-01:45,61
2018-06-14-01:50,59
2018-06-14-01:55,61
2018-06-14-02:00,59
2018-06-14-02:05,57
2018-06-14-02:10,60
2018-06-14-02:15,58
2018-06-14-02:20,62
2018-06-14-02:25,57
2018-06-14-02:30,58
2018-06-14-02:35,57
2018-06-14-02:40,53
2018-06-14-02:45,54
2018-06-14-02:50,57
2018-06-14-02:55,58
2018-06-14-03:00,56
2018-06-14-03:05,55
2018-06-14-03:10,50
2018-06-14-03:15,46
2018-06-14-03:20,45
2018-06-14-03:25,41
2018-06-14-03:30,39
2018-06-14-03:35,37
2018-06-14-03:40,37
2018-06-14-03:45,34
2018-06-14-03:50,33
2018-06-14-03:55,33
2018-06-14-04:00,30
2018-06-14-04:05,31
2018-06-14-04:10,31
2018-06-14-04:15,31
2018-06-14-04:20,31
2018-06-14-04:25,31
2018-06-14-04:30,31
2018-06-14-04:35,31
2018-06-14-04:40,31
2018-06-14-04:45,31
2018-06-14-04:50,31
2018-06-14-04:55,29
2018-06-14-05:00,27
2018-06-14-05:05,28
2018-06-14-05:10,28
2018-06-14-05:15,28
2018-06-14-05:20,28
2018-06-14-05:25,29
2018-06-14-05:30,27
2018-06-14-05:35,29
2018-06-14-05:40,29
2018-06-14-05:45,29
2018-06-14-05:50,28
2018-06-14-05:55,29
2018-06-14-06:00,28
2018-06-14-06:05,29
2018-06-14-06:10,28
2018-06-14-06:15,26
2018-06-14-06:20,25
2018-06-14-06:25,27
2018-06-14-06:30,26
2018-06-14-06:35,27
2018-06-14-06:40,28
2018-06-14-06:45,28
2018-06-14-06:50,29
2018-06-14-06:55,26
2018-06-14-07:00,28
2018-06-14-07:05,29
2018-06-14-07:10,30
2018-06-14-07:15,27
2018-06-14-07:20,27
2018-06-14-07:25,29
2018-06-14-07:30,28
2018-06-14-07:35,30
2018-06-14-07:40,31
2018-06-14-07:45,32
2018-06-14-07:50,33
2018-06-14-07:55,29
2018-06-14-08:00,30
2018-06-14-08:05,31
2018-06-14-08:10,33
2018-06-14-08:15,37
2018-06-14-08:20,42
2018-06-14-08:25,42
2018-06-14-08:30,40
2018-06-14-08:35,39
2018-06-14-08:40,42
2018-06-14-08:45,45
2018-06-14-08:50,46
2018-06-14-08:55,41
2018-06-14-09:00,43
2018-06-14-09:05,44
2018-06-14-09:10,43
2018-06-14-09:15,43
2018-06-14-09:20,43
2018-06-14-09:25,51
2018-06-14-09:30,50
2018-06-14-09:35,53
2018-06-14-09:40,55
2018-06-14-09:45,55
2018-06-14-09:50,56
2018-06-14-09:55,53
2018-06-14-10:00,58
2018-06-14-10:05,52
2018-06-14-10:10,47
2018-06-14-10:15,48
2018-06-14-10:20,56
2018-06-14-10:25,55
2018-06-14-10:30,51
2018-06-14-10:35,52
2018-06-14-10:40,61
2018-06-14-10:45,61
2018-06-14-10:50,62
2018-06-14-10:55,63
2018-06-14-11:00,67
2018-06-14-11:05,63
2018-06-14-11:10,63
2018-06-14-11:15,66
2018-06-14-11:20,64
2018-06-14-11:25,63
2018-06-14-11:30,60
2018-06-14-11:35,59
2018-06-14-11:40,65
2018-06-14-11:45,71
2018-06-14-11:50,75
2018-06-14-11:55,83
2018-06-14-12:00,86
2018-06-14-12:05,80
2018-06-14-12:10,87
2018-06-14-12:15,85
2018-06-14-12:20,85
2018-06-14-12:25,89
2018-06-14-12:30,76
2018-06-14-12:35,82
2018-06-14-12:40,84
2018-06-14-12:45,77
2018-06-14-12:50,85
2018-06-14-12:55,85
2018-06-14-13:00,83
2018-06-14-13:05,93
2018-06-14-13:10,94
2018-06-14-13:15,94
2018-06-14-13:20,91
2018-06-14-13:25,95
2018-06-14-13:30,95
2018-06-14-13:35,95
2018-06-14-13:40,93
2018-06-14-13:45,102
2018-06-14-13:50,100
2018-06-14-13:55,104
2018-06-14-14:00,87
2018-06-14-14:05,84
2018-06-14-14:10,91
2018-06-14-14:15,91
2018-06-14-14:20,92
2018-06-14-14:25,90
2018-06-14-14:30,88
2018-06-14-14:35,88
2018-06-14-14:40,90
2018-06-14-14:45,100
2018-06-14-14:50,97
2018-06-14-14:55,93
2018-06-14-15:00,94
2018-06-14-15:05,93
2018-06-14-15:10,101
2018-06-14-15:15,107
2018-06-14-15:20,102
2018-06-14-15:25,112
2018-06-14-15:30,125
2018-06-14-15:35,111
2018-06-14-15:40,112
2018-06-14-15:45,115
2018-06-14-15:50,112
2018-06-14-15:55,112
2018-06-14-16:00,107
2018-06-14-16:05,114
2018-06-14-16:10,118
2018-06-14-16:15,118
2018-06-14-16:20,117
2018-06-14-16:25,114
2018-06-14-16:30,113
2018-06-14-16:35,120
2018-06-14-16:40,124
2018-06-14-16:45,123
2018-06-14-16:50,132
2018-06-14-16:55,131
2018-06-14-17:00,131
2018-06-14-17:05,135
2018-06-14-17:10,141
2018-06-14-17:15,144
2018-06-14-17:20,160
2018-06-14-17:25,173
2018-06-14-17:30,173
2018-06-14-17:35,158
2018-06-14-17:40,156
2018-06-14-17:45,161
2018-06-14-17:50,166
2018-06-14-17:55,156
2018-06-14-18:00,160
2018-06-14-18:05,170
2018-06-14-18:10,176
2018-06-14-18:15,184
2018-06-14-18:20,195
2018-06-14-18:25,195
2018-06-14-18:30,196
2018-06-14-18:35,196
2018-06-14-18:40,199
2018-06-14-18:45,215
2018-06-14-18:50,220
2018-06-14-18:55,215
2018-06-14-19:00,221
2018-06-14-19:05,233
2018-06-14-19:10,234
2018-06-14-19:15,254
2018-06-14-19:20,272
2018-06-14-19:25,276
2018-06-14-19:30,269
2018-06-14-19:35,308
2018-06-14-19:40,340
2018-06-14-19:45,355
2018-06-14-19:50,373
2018-06-14-19:55,381
2018-06-14-20:00,378
2018-06-14-20:05,395
2018-06-14-20:10,400
2018-06-14-20:15,410
2018-06-14-20:20,425
2018-06-14-20:25,433
2018-06-14-20:30,438
2018-06-14-20:35,452
2018-06-14-20:40,406
2018-06-14-20:45,395
2018-06-14-20:50,407
2018-06-14-20:55,436
2018-06-14-21:00,519
2018-06-14-21:05,531
2018-06-14-21:10,544
2018-06-14-21:15,569
2018-06-14-21:20,613
2018-06-14-21:25,649
2018-06-14-21:30,662
2018-06-14-21:35,755
2018-06-14-21:40,889
2018-06-14-21:45,995
2018-06-14-21:50,1149
2018-06-14-21:55,1389
2018-06-14-22:00,1517
2018-06-14-22:05,1795
2018-06-14-22:10,1858
2018-06-14-22:15,1952
2018-06-14-22:20,2117
2018-06-14-22:25,2250
2018-06-14-22:30,2331
2018-06-14-22:35,2589
2018-06-14-22:40,2741
2018-06-14-22:45,2804
2018-06-14-22:50,2901
2018-06-14-22:55,3101
2018-06-14-23:00,3336
2018-06-14-23:05,3434
2018-06-14-23:10,3434
2018-06-14-23:15,3503
2018-06-14-23:20,3571
2018-06-14-23:25,3621
2018-06-14-23:30,3592
2018-06-14-23:35,3470
2018-06-14-23:40,2762
2018-06-14-23:45,2511
2018-06-14-23:50,1872
2018-06-14-23:55,2092
2018-06-15-00:00,1906
2018-06-15-00:05,1732
2018-06-15-00:10,1731
2018-06-15-00:15,1722
2018-06-15-00:20,1654
2018-06-15-00:25,1716
2018-06-15-00:30,1725
2018-06-15-00:35,1892
2018-06-15-00:40,1985
2018-06-15-00:45,2098
2018-06-15-00:50,2223
2018-06-15-00:55,1798
2018-06-15-01:00,1128
2018-06-15-01:05,790
2018-06-15-01:10,591
2018-06-15-01:15,517
2018-06-15-01:20,472
2018-06-15-01:25,427
2018-06-15-01:30,422
2018-06-15-01:35,394
2018-06-15-01:40,380
2018-06-15-01:45,369
2018-06-15-01:50,370
2018-06-15-01:55,359
2018-06-15-02:00,359
2018-06-15-02:05,340
2018-06-15-02:10,342
2018-06-15-02:15,336
2018-06-15-02:20,337
2018-06-15-02:25,335
2018-06-15-02:30,323
2018-06-15-02:35,313
2018-06-15-02:40,304
2018-06-15-02:45,301
2018-06-15-02:50,295
2018-06-15-02:55,284
2018-06-15-03:00,269
2018-06-15-03:05,259
2018-06-15-03:10,252
2018-06-15-03:15,255
2018-06-15-03:20,251
2018-06-15-03:25,245
2018-06-15-03:30,245
2018-06-15-03:35,250
2018-06-15-03:40,249
2018-06-15-03:45,233
2018-06-15-03:50,236
2018-06-15-03:55,239
2018-06-15-04:00,231
2018-06-15-04:05,216
2018-06-15-04:10,196
2018-06-15-04:15,193
2018-06-15-04:20,177
2018-06-15-04:25,174
2018-06-15-04:30,166
2018-06-15-04:35,167
2018-06-15-04:40,168
2018-06-15-04:45,165
2018-06-15-04:50,163
2018-06-15-04:55,162
2018-06-15-05:00,159
2018-06-15-05:05,157
2018-06-15-05:10,148
2018-06-15-05:15,146
2018-06-15-05:20,147
2018-06-15-05:25,148
2018-06-15-05:30,150
2018-06-15-05:35,155
2018-06-15-05:40,153
2018-06-15-05:45,154
2018-06-15-05:50,150
2018-06-15-05:55,153
2018-06-15-06:00,157
2018-06-15-06:05,158
2018-06-15-06:10,154
2018-06-15-06:15,158
2018-06-15-06:20,157
2018-06-15-06:25,159
2018-06-15-06:30,156
2018-06-15-06:35,152
2018-06-15-06:40,161
2018-06-15-06:45,174
2018-06-15-06:50,174
2018-06-15-06:55,178
2018-06-15-07:00,179
2018-06-15-07:05,176
2018-06-15-07:10,187
2018-06-15-07:15,186
2018-06-15-07:20,196
2018-06-15-07:25,202
2018-06-15-07:30,206
2018-06-15-07:35,214
2018-06-15-07:40,220
2018-06-15-07:45,206
2018-06-15-07:50,230
2018-06-15-07:55,230
2018-06-15-08:00,186
2018-06-15-08:05,183
2018-06-15-08:10,174
2018-06-15-08:15,186
2018-06-15-08:20,176
2018-06-15-08:25,180
2018-06-15-08:30,180
2018-06-15-08:35,183
2018-06-15-08:40,177
2018-06-15-08:45,183
2018-06-15-08:50,182
2018-06-15-08:55,176
2018-06-15-09:00,184
2018-06-15-09:05,190
2018-06-15-09:10,193
2018-06-15-09:15,195
2018-06-15-09:20,198
2018-06-15-09:25,199
2018-06-15-09:30,185
2018-06-15-09:35,194
2018-06-15-09:40,197
2018-06-15-09:45,204
2018-06-15-09:50,214
2018-06-15-09:55,216
2018-06-15-10:00,220
2018-06-15-10:05,227
2018-06-15-10:10,227
2018-06-15-10:15,231
2018-06-15-10:20,231
2018-06-15-10:25,229
2018-06-15-10:30,240
2018-06-15-10:35,241
2018-06-15-10:40,243
2018-06-15-10:45,248
2018-06-15-10:50,232
2018-06-15-10:55,229
2018-06-15-11:00,230
2018-06-15-11:05,209
2018-06-15-11:10,221
2018-06-15-11:15,224
2018-06-15-11:20,240
2018-06-15-11:25,256
2018-06-15-11:30,267
2018-06-15-11:35,259
2018-06-15-11:40,274
2018-06-15-11:45,285
2018-06-15-11:50,280
2018-06-15-11:55,291
2018-06-15-12:00,258
2018-06-15-12:05,256
2018-06-15-12:10,224
2018-06-15-12:15,232
2018-06-15-12:20,217
2018-06-15-12:25,200
2018-06-15-12:30,193
2018-06-15-12:35,200
2018-06-15-12:40,204
2018-06-15-12:45,184
2018-06-15-12:50,182
2018-06-15-12:55,184
2018-06-15-13:00,198
2018-06-15-13:05,199
2018-06-15-13:10,202
2018-06-15-13:15,225
2018-06-15-13:20,225
2018-06-15-13:25,231
2018-06-15-13:30,210
2018-06-15-13:35,212
2018-06-15-13:40,222
2018-06-15-13:45,216
2018-06-15-13:50,211
2018-06-15-13:55,206
2018-06-15-14:00,227
2018-06-15-14:05,222
2018-06-15-14:10,218
2018-06-15-14:15,221
2018-06-15-14:20,216
2018-06-15-14:25,204
2018-06-15-14:30,211
2018-06-15-14:35,220
2018-06-15-14:40,218
2018-06-15-14:45,231
2018-06-15-14:50,234
2018-06-15-14:55,247
2018-06-15-15:00,252
2018-06-15-15:05,244
2018-06-15-15:10,237
2018-06-15-15:15,240
2018-06-15-15:20,248
2018-06-15-15:25,237
2018-06-15-15:30,243
2018-06-15-15:35,255
2018-06-15-15:40,259
2018-06-15-15:45,287
2018-06-15-15:50,285
2018-06-15-15:55,303
2018-06-15-16:00,296
2018-06-15-16:05,300
2018-06-15-16:10,295
2018-06-15-16:15,312
2018-06-15-16:20,316
2018-06-15-16:25,323
2018-06-15-16:30,339
2018-06-15-16:35,363
2018-06-15-16:40,387
2018-06-15-16:45,409
2018-06-15-16:50,430
2018-06-15-16:55,424
2018-06-15-17:00,435
2018-06-15-17:05,429
2018-06-15-17:10,456
2018-06-15-17:15,474
2018-06-15-17:20,478
2018-06-15-17:25,463
2018-06-15-17:30,472
2018-06-15-17:35,501
2018-06-15-17:40,526
2018-06-15-17:45,545
2018-06-15-17:50,544
2018-06-15-17:55,587
2018-06-15-18:00,595
2018-06-15-18:05,611
2018-06-15-18:10,614
2018-06-15-18:15,662
2018-06-15-18:20,728
2018-06-15-18:25,751
2018-06-15-18:30,749
2018-06-15-18:35,766
2018-06-15-18:40,834
2018-06-15-18:45,916
2018-06-15-18:50,992
2018-06-15-18:55,1086
2018-06-15-19:00,1112
