Date,MOD
2018-06-13-00:00,3197
2018-06-13-00:05,3196
2018-06-13-00:10,3194
2018-06-13-00:15,3028
2018-06-13-00:20,3024
2018-06-13-00:25,3026
2018-06-13-00:30,2936
2018-06-13-00:35,2938
2018-06-13-00:40,2935
2018-06-13-00:45,2930
2018-06-13-00:50,2930
2018-06-13-00:55,2931
2018-06-13-01:00,2867
2018-06-13-01:05,2865
2018-06-13-01:10,2865
2018-06-13-01:15,2786
2018-06-13-01:20,2789
2018-06-13-01:25,2788
2018-06-13-01:30,2691
2018-06-13-01:35,2696
2018-06-13-01:40,2696
2018-06-13-01:45,2688
2018-06-13-01:50,2688
2018-06-13-01:55,2686
2018-06-13-02:00,2648
2018-06-13-02:05,2649
2018-06-13-02:10,2648
2018-06-13-02:15,2624
2018-06-13-02:20,2626
2018-06-13-02:25,2623
2018-06-13-02:30,2522
2018-06-13-02:35,2520
2018-06-13-02:40,2520
2018-06-13-02:45,2506
2018-06-13-02:50,2506
2018-06-13-02:55,2506
2018-06-13-03:00,2493
2018-06-13-03:05,2493
2018-06-13-03:10,2492
2018-06-13-03:15,2486
2018-06-13-03:20,2486
2018-06-13-03:25,2486
2018-06-13-03:30,2450
2018-06-13-03:35,2449
2018-06-13-03:40,2449
2018-06-13-03:45,2452
2018-06-13-03:50,2452
2018-06-13-03:55,2452
2018-06-13-04:00,2438
2018-06-13-04:05,2438
2018-06-13-04:10,2438
2018-06-13-04:15,2406
2018-06-13-04:20,2406
2018-06-13-04:25,2406
2018-06-13-04:30,2407
2018-06-13-04:35,2406
2018-06-13-04:40,2406
2018-06-13-04:45,2413
2018-06-13-04:50,2413
2018-06-13-04:55,2412
2018-06-13-05:00,2389
2018-06-13-05:05,2389
2018-06-13-05:10,2389
2018-06-13-05:15,2382
2018-06-13-05:20,2382
2018-06-13-05:25,2382
2018-06-13-05:30,2370
2018-06-13-05:35,2370
2018-06-13-05:40,2370
2018-06-13-05:45,2383
2018-06-13-05:50,2383
2018-06-13-05:55,2384
2018-06-13-06:00,2398
2018-06-13-06:05,2398
2018-06-13-06:10,2398
2018-06-13-06:15,2341
2018-06-13-06:20,2341
2018-06-13-06:25,2341
2018-06-13-06:30,2261
2018-06-13-06:35,2261
2018-06-13-06:40,2263
2018-06-13-06:45,2222
2018-06-13-06:50,2221
2018-06-13-06:55,2220
2018-06-13-07:00,2170
2018-06-13-07:05,2169
2018-06-13-07:10,2169
2018-06-13-07:15,2124
2018-06-13-07:20,2125
2018-06-13-07:25,2124
2018-06-13-07:30,2090
2018-06-13-07:35,2091
2018-06-13-07:40,2091
2018-06-13-07:45,2096
2018-06-13-07:50,2097
2018-06-13-07:55,2097
2018-06-13-08:00,1847
2018-06-13-08:05,1846
2018-06-13-08:10,1845
2018-06-13-08:15,1762
2018-06-13-08:20,1762
2018-06-13-08:25,1762
2018-06-13-08:30,1753
2018-06-13-08:35,1752
2018-06-13-08:40,1752
2018-06-13-08:45,1634
2018-06-13-08:50,1635
2018-06-13-08:55,1635
2018-06-13-09:00,1516
2018-06-13-09:05,1516
2018-06-13-09:10,1516
2018-06-13-09:15,1409
2018-06-13-09:20,1410
2018-06-13-09:25,1409
2018-06-13-09:30,1372
2018-06-13-09:35,1371
2018-06-13-09:40,1372
2018-06-13-09:45,1373
2018-06-13-09:50,1372
2018-06-13-09:55,1372
2018-06-13-10:00,1325
2018-06-13-10:05,1324
2018-06-13-10:10,1324
2018-06-13-10:15,1231
2018-06-13-10:20,1231
2018-06-13-10:25,1232
2018-06-13-10:30,1175
2018-06-13-10:35,1175
2018-06-13-10:40,1175
2018-06-13-10:45,1137
2018-06-13-10:50,1137
2018-06-13-10:55,1135
2018-06-13-11:00,1048
2018-06-13-11:05,1050
2018-06-13-11:10,1052
2018-06-13-11:15,779
2018-06-13-11:20,778
2018-06-13-11:25,781
2018-06-13-11:30,1102
2018-06-13-11:35,1104
2018-06-13-11:40,1105
2018-06-13-11:45,1056
2018-06-13-11:50,1057
2018-06-13-11:55,1055
2018-06-13-12:00,1030
2018-06-13-12:05,1027
2018-06-13-12:10,1028
2018-06-13-12:15,1071
2018-06-13-12:20,1068
2018-06-13-12:25,1067
2018-06-13-12:30,1082
2018-06-13-12:35,1085
2018-06-13-12:40,1092
2018-06-13-12:45,1159
2018-06-13-12:50,1157
2018-06-13-12:55,1157
2018-06-13-13:00,1212
2018-06-13-13:05,1210
2018-06-13-13:10,1209
2018-06-13-13:15,1259
2018-06-13-13:20,1260
2018-06-13-13:25,1258
2018-06-13-13:30,1265
2018-06-13-13:35,1261
2018-06-13-13:40,1258
2018-06-13-13:45,1084
2018-06-13-13:50,1082
2018-06-13-13:55,1081
2018-06-13-14:00,1026
2018-06-13-14:05,1027
2018-06-13-14:10,1028
2018-06-13-14:15,974
2018-06-13-14:20,977
2018-06-13-14:25,975
2018-06-13-14:30,990
2018-06-13-14:35,991
2018-06-13-14:40,991
2018-06-13-14:45,1037
2018-06-13-14:50,1036
2018-06-13-14:55,1038
2018-06-13-15:00,1099
2018-06-13-15:05,1099
2018-06-13-15:10,1098
2018-06-13-15:15,1070
2018-06-13-15:20,1070
2018-06-13-15:25,1068
2018-06-13-15:30,1089
2018-06-13-15:35,1089
2018-06-13-15:40,1088
2018-06-13-15:45,1249
2018-06-13-15:50,1250
2018-06-13-15:55,1252
2018-06-13-16:00,1371
2018-06-13-16:05,1371
2018-06-13-16:10,1370
2018-06-13-16:15,1378
2018-06-13-16:20,1376
2018-06-13-16:25,1377
2018-06-13-16:30,1424
2018-06-13-16:35,1424
2018-06-13-16:40,1426
2018-06-13-16:45,1577
2018-06-13-16:50,1580
2018-06-13-16:55,1580
2018-06-13-17:00,1678
2018-06-13-17:05,1676
2018-06-13-17:10,1670
2018-06-13-17:15,1427
2018-06-13-17:20,1426
2018-06-13-17:25,1426
2018-06-13-17:30,1463
2018-06-13-17:35,1463
2018-06-13-17:40,1465
2018-06-13-17:45,1513
2018-06-13-17:50,1515
2018-06-13-17:55,1512
2018-06-13-18:00,1497
2018-06-13-18:05,1497
2018-06-13-18:10,1499
2018-06-13-18:15,1602
2018-06-13-18:20,1603
2018-06-13-18:25,1603
2018-06-13-18:30,2618
2018-06-13-18:35,2618
2018-06-13-18:40,2619
2018-06-13-18:45,3305
2018-06-13-18:50,3307
2018-06-13-18:55,3309
2018-06-13-19:00,3681
2018-06-13-19:05,3684
2018-06-13-19:10,3688
2018-06-13-19:15,4064
2018-06-13-19:20,4062
2018-06-13-19:25,4068
2018-06-13-19:30,4715
2018-06-13-19:35,4717
2018-06-13-19:40,4718
2018-06-13-19:45,4812
2018-06-13-19:50,4806
2018-06-13-19:55,4798
2018-06-13-20:00,5347
2018-06-13-20:05,5348
2018-06-13-20:10,5354
2018-06-13-20:15,5182
2018-06-13-20:20,5181
2018-06-13-20:25,5184
2018-06-13-20:30,5442
2018-06-13-20:35,5443
2018-06-13-20:40,5447
2018-06-13-20:45,5766
2018-06-13-20:50,5766
2018-06-13-20:55,5769
2018-06-13-21:00,6073
2018-06-13-21:05,6074
2018-06-13-21:10,6071
2018-06-13-21:15,6109
2018-06-13-21:20,6108
2018-06-13-21:25,6111
2018-06-13-21:30,6540
2018-06-13-21:35,6538
2018-06-13-21:40,6542
2018-06-13-21:45,6611
2018-06-13-21:50,6607
2018-06-13-21:55,6607
2018-06-13-22:00,5806
2018-06-13-22:05,5812
2018-06-13-22:10,5820
2018-06-13-22:15,4529
2018-06-13-22:20,4526
2018-06-13-22:25,4529
2018-06-13-22:30,4459
2018-06-13-22:35,4466
2018-06-13-22:40,4472
2018-06-13-22:45,4140
2018-06-13-22:50,4138
2018-06-13-22:55,4136
2018-06-13-23:00,4188
2018-06-13-23:05,4193
2018-06-13-23:10,4196
2018-06-13-23:15,4244
2018-06-13-23:20,4248
2018-06-13-23:25,4246
2018-06-13-23:30,3853
2018-06-13-23:35,3834
2018-06-13-23:40,3808
2018-06-13-23:45,3143
2018-06-13-23:50,3140
2018-06-13-23:55,3126
2018-06-14-00:00,2846
2018-06-14-00:05,2848
2018-06-14-00:10,2851
2018-06-14-00:15,2652
2018-06-14-00:20,2648
2018-06-14-00:25,2645
2018-06-14-00:30,2598
2018-06-14-00:35,2598
2018-06-14-00:40,2604
2018-06-14-00:45,2592
2018-06-14-00:50,2590
2018-06-14-00:55,2592
2018-06-14-01:00,2584
2018-06-14-01:05,2588
2018-06-14-01:10,2590
2018-06-14-01:15,2515
2018-06-14-01:20,2514
2018-06-14-01:25,2514
2018-06-14-01:30,2443
2018-06-14-01:35,2443
2018-06-14-01:40,2442
2018-06-14-01:45,2458
2018-06-14-01:50,2458
2018-06-14-01:55,2460
2018-06-14-02:00,2433
2018-06-14-02:05,2435
2018-06-14-02:10,2434
2018-06-14-02:15,2419
2018-06-14-02:20,2419
2018-06-14-02:25,2413
2018-06-14-02:30,2397
2018-06-14-02:35,2400
2018-06-14-02:40,2402
2018-06-14-02:45,2419
2018-06-14-02:50,2420
2018-06-14-02:55,2422
2018-06-14-03:00,2400
2018-06-14-03:05,2398
2018-06-14-03:10,2392
2018-06-14-03:15,2306
2018-06-14-03:20,2303
2018-06-14-03:25,2301
2018-06-14-03:30,2260
2018-06-14-03:35,2259
2018-06-14-03:40,2259
2018-06-14-03:45,2258
2018-06-14-03:50,2258
2018-06-14-03:55,2257
2018-06-14-04:00,2255
2018-06-14-04:05,2255
2018-06-14-04:10,2254
2018-06-14-04:15,2246
2018-06-14-04:20,2245
2018-06-14-04:25,2245
2018-06-14-04:30,2237
2018-06-14-04:35,2235
2018-06-14-04:40,2235
2018-06-14-04:45,2234
2018-06-14-04:50,2235
2018-06-14-04:55,2234
2018-06-14-05:00,2217
2018-06-14-05:05,2216
2018-06-14-05:10,2216
2018-06-14-05:15,2205
2018-06-14-05:20,2204
2018-06-14-05:25,2204
2018-06-14-05:30,2183
2018-06-14-05:35,2182
2018-06-14-05:40,2182
2018-06-14-05:45,2166
2018-06-14-05:50,2166
2018-06-14-05:55,2167
2018-06-14-06:00,2154
2018-06-14-06:05,2153
2018-06-14-06:10,2154
2018-06-14-06:15,2100
2018-06-14-06:20,2099
2018-06-14-06:25,2100
2018-06-14-06:30,1981
2018-06-14-06:35,1980
2018-06-14-06:40,1981
2018-06-14-06:45,1928
2018-06-14-06:50,1928
2018-06-14-06:55,1930
2018-06-14-07:00,1854
2018-06-14-07:05,1854
2018-06-14-07:10,1855
2018-06-14-07:15,1795
2018-06-14-07:20,1793
2018-06-14-07:25,1793
2018-06-14-07:30,1714
2018-06-14-07:35,1714
2018-06-14-07:40,1714
2018-06-14-07:45,1703
2018-06-14-07:50,1703
2018-06-14-07:55,1703
2018-06-14-08:00,1683
2018-06-14-08:05,1683
2018-06-14-08:10,1681
2018-06-14-08:15,1688
2018-06-14-08:20,1690
2018-06-14-08:25,1689
2018-06-14-08:30,1622
2018-06-14-08:35,1621
2018-06-14-08:40,1623
2018-06-14-08:45,1620
2018-06-14-08:50,1620
2018-06-14-08:55,1619
2018-06-14-09:00,1607
2018-06-14-09:05,1609
2018-06-14-09:10,1610
2018-06-14-09:15,1563
2018-06-14-09:20,1565
2018-06-14-09:25,1568
2018-06-14-09:30,1539
2018-06-14-09:35,1542
2018-06-14-09:40,1538
2018-06-14-09:45,1557
2018-06-14-09:50,1558
2018-06-14-09:55,1558
2018-06-14-10:00,1531
2018-06-14-10:05,1533
2018-06-14-10:10,1531
2018-06-14-10:15,1483
2018-06-14-10:20,1483
2018-06-14-10:25,1486
2018-06-14-10:30,1467
2018-06-14-10:35,1467
2018-06-14-10:40,1467
2018-06-14-10:45,1499
2018-06-14-10:50,1500
2018-06-14-10:55,1501
2018-06-14-11:00,1438
2018-06-14-11:05,1439
2018-06-14-11:10,1441
2018-06-14-11:15,891
2018-06-14-11:20,888
2018-06-14-11:25,890
2018-06-14-11:30,1359
2018-06-14-11:35,1366
2018-06-14-11:40,1363
2018-06-14-11:45,1437
2018-06-14-11:50,1440
2018-06-14-11:55,1435
2018-06-14-12:00,1425
2018-06-14-12:05,1427
2018-06-14-12:10,1427
2018-06-14-12:15,1401
2018-06-14-12:20,1400
2018-06-14-12:25,1394
2018-06-14-12:30,1359
2018-06-14-12:35,1365
2018-06-14-12:40,1362
2018-06-14-12:45,1358
2018-06-14-12:50,1360
2018-06-14-12:55,1358
2018-06-14-13:00,1377
2018-06-14-13:05,1383
2018-06-14-13:10,1380
2018-06-14-13:15,1407
2018-06-14-13:20,1407
2018-06-14-13:25,1410
2018-06-14-13:30,1448
2018-06-14-13:35,1447
2018-06-14-13:40,1446
2018-06-14-13:45,1511
2018-06-14-13:50,1514
2018-06-14-13:55,1516
2018-06-14-14:00,1480
2018-06-14-14:05,1481
2018-06-14-14:10,1481
2018-06-14-14:15,1503
2018-06-14-14:20,1502
2018-06-14-14:25,1504
2018-06-14-14:30,1577
2018-06-14-14:35,1577
2018-06-14-14:40,1577
2018-06-14-14:45,1625
2018-06-14-14:50,1625
2018-06-14-14:55,1625
2018-06-14-15:00,1551
2018-06-14-15:05,1546
2018-06-14-15:10,1543
2018-06-14-15:15,1579
2018-06-14-15:20,1580
2018-06-14-15:25,1582
2018-06-14-15:30,1584
2018-06-14-15:35,1585
2018-06-14-15:40,1584
2018-06-14-15:45,1636
2018-06-14-15:50,1637
2018-06-14-15:55,1628
2018-06-14-16:00,1668
2018-06-14-16:05,1669
2018-06-14-16:10,1672
2018-06-14-16:15,1759
2018-06-14-16:20,1761
2018-06-14-16:25,1758
2018-06-14-16:30,1964
2018-06-14-16:35,1927
2018-06-14-16:40,1927
2018-06-14-16:45,2034
2018-06-14-16:50,2035
2018-06-14-16:55,2032
2018-06-14-17:00,2086
2018-06-14-17:05,2086
2018-06-14-17:10,2081
2018-06-14-17:15,2223
2018-06-14-17:20,2228
2018-06-14-17:25,2230
2018-06-14-17:30,2457
2018-06-14-17:35,2458
2018-06-14-17:40,2459
2018-06-14-17:45,2526
2018-06-14-17:50,2531
2018-06-14-17:55,2525
2018-06-14-18:00,2379
2018-06-14-18:05,2381
2018-06-14-18:10,2380
2018-06-14-18:15,2627
2018-06-14-18:20,2631
2018-06-14-18:25,2631
2018-06-14-18:30,3671
2018-06-14-18:35,3675
2018-06-14-18:40,3678
2018-06-14-18:45,4628
2018-06-14-18:50,4632
2018-06-14-18:55,4624
2018-06-14-19:00,5075
2018-06-14-19:05,5084
2018-06-14-19:10,5088
2018-06-14-19:15,5347
2018-06-14-19:20,5354
2018-06-14-19:25,5359
2018-06-14-19:30,5892
2018-06-14-19:35,5901
2018-06-14-19:40,5906
2018-06-14-19:45,6639
2018-06-14-19:50,6639
2018-06-14-19:55,6636
2018-06-14-20:00,7274
2018-06-14-20:05,7269
2018-06-14-20:10,7278
2018-06-14-20:15,7846
2018-06-14-20:20,7845
2018-06-14-20:25,7850
2018-06-14-20:30,8380
2018-06-14-20:35,8384
2018-06-14-20:40,8364
2018-06-14-20:45,7795
2018-06-14-20:50,7801
2018-06-14-20:55,7800
2018-06-14-21:00,8598
2018-06-14-21:05,8611
2018-06-14-21:10,8640
2018-06-14-21:15,9186
2018-06-14-21:20,9221
2018-06-14-21:25,9239
2018-06-14-21:30,9356
2018-06-14-21:35,9387
2018-06-14-21:40,9439
2018-06-14-21:45,8438
2018-06-14-21:50,8502
2018-06-14-21:55,8606
2018-06-14-22:00,11376
2018-06-14-22:05,11464
2018-06-14-22:10,11558
2018-06-14-22:15,13717
2018-06-14-22:20,13825
2018-06-14-22:25,13876
2018-06-14-22:30,21191
2018-06-14-22:35,21414
2018-06-14-22:40,21555
2018-06-14-22:45,25364
2018-06-14-22:50,25571
2018-06-14-22:55,25767
2018-06-14-23:00,32881
2018-06-14-23:05,32859
2018-06-14-23:10,32873
2018-06-14-23:15,35490
2018-06-14-23:20,35485
2018-06-14-23:25,35453
2018-06-14-23:30,36289
2018-06-14-23:35,36275
2018-06-14-23:40,36149
2018-06-14-23:45,32801
2018-06-14-23:50,32599
2018-06-14-23:55,32742
2018-06-15-00:00,30975
2018-06-15-00:05,31063
2018-06-15-00:10,31017
2018-06-15-00:15,31180
2018-06-15-00:20,31211
2018-06-15-00:25,31231
2018-06-15-00:30,30259
2018-06-15-00:35,30169
2018-06-15-00:40,30179
2018-06-15-00:45,28935
2018-06-15-00:50,29508
2018-06-15-00:55,29100
2018-06-15-01:00,19831
2018-06-15-01:05,19465
2018-06-15-01:10,19306
2018-06-15-01:15,16635
2018-06-15-01:20,16567
2018-06-15-01:25,16544
2018-06-15-01:30,15322
2018-06-15-01:35,15285
2018-06-15-01:40,15281
2018-06-15-01:45,14750
2018-06-15-01:50,14747
2018-06-15-01:55,14720
2018-06-15-02:00,14261
2018-06-15-02:05,14257
2018-06-15-02:10,14254
2018-06-15-02:15,13996
2018-06-15-02:20,13997
2018-06-15-02:25,13988
2018-06-15-02:30,13833
2018-06-15-02:35,13821
2018-06-15-02:40,13819
2018-06-15-02:45,13716
2018-06-15-02:50,13714
2018-06-15-02:55,13712
2018-06-15-03:00,13449
2018-06-15-03:05,13441
2018-06-15-03:10,13437
2018-06-15-03:15,13294
2018-06-15-03:20,13295
2018-06-15-03:25,13285
2018-06-15-03:30,13247
2018-06-15-03:35,13245
2018-06-15-03:40,13242
2018-06-15-03:45,13164
2018-06-15-03:50,13164
2018-06-15-03:55,13158
2018-06-15-04:00,13029
2018-06-15-04:05,13019
2018-06-15-04:10,13004
2018-06-15-04:15,12809
2018-06-15-04:20,12808
2018-06-15-04:25,12803
2018-06-15-04:30,12671
2018-06-15-04:35,12668
2018-06-15-04:40,12667
2018-06-15-04:45,12582
2018-06-15-04:50,12581
2018-06-15-04:55,12576
2018-06-15-05:00,12450
2018-06-15-05:05,12449
2018-06-15-05:10,12448
2018-06-15-05:15,12356
2018-06-15-05:20,12356
2018-06-15-05:25,12353
2018-06-15-05:30,12301
2018-06-15-05:35,12301
2018-06-15-05:40,12300
2018-06-15-05:45,12224
2018-06-15-05:50,12220
2018-06-15-05:55,12218
2018-06-15-06:00,12172
2018-06-15-06:05,12174
2018-06-15-06:10,12171
2018-06-15-06:15,12097
2018-06-15-06:20,12096
2018-06-15-06:25,12096
2018-06-15-06:30,12023
2018-06-15-06:35,12029
2018-06-15-06:40,12025
2018-06-15-06:45,11788
2018-06-15-06:50,11790
2018-06-15-06:55,11790
2018-06-15-07:00,11418
2018-06-15-07:05,11423
2018-06-15-07:10,11422
2018-06-15-07:15,11302
2018-06-15-07:20,11311
2018-06-15-07:25,11322
2018-06-15-07:30,11290
2018-06-15-07:35,11286
2018-06-15-07:40,11285
2018-06-15-07:45,11262
2018-06-15-07:50,11282
2018-06-15-07:55,11294
2018-06-15-08:00,10221
2018-06-15-08:05,10215
2018-06-15-08:10,10210
2018-06-15-08:15,9913
2018-06-15-08:20,9915
2018-06-15-08:25,9925
2018-06-15-08:30,9814
2018-06-15-08:35,9811
2018-06-15-08:40,9803
2018-06-15-08:45,9507
2018-06-15-08:50,9504
2018-06-15-08:55,9502
2018-06-15-09:00,9386
2018-06-15-09:05,9395
2018-06-15-09:10,9405
2018-06-15-09:15,9413
2018-06-15-09:20,9408
2018-06-15-09:25,9421
2018-06-15-09:30,9260
2018-06-15-09:35,9268
2018-06-15-09:40,9274
2018-06-15-09:45,9215
2018-06-15-09:50,9211
2018-06-15-09:55,9221
2018-06-15-10:00,9250
2018-06-15-10:05,9256
2018-06-15-10:10,9261
2018-06-15-10:15,9091
2018-06-15-10:20,9083
2018-06-15-10:25,9079
2018-06-15-10:30,8610
2018-06-15-10:35,8609
2018-06-15-10:40,8619
2018-06-15-10:45,7939
2018-06-15-10:50,7930
2018-06-15-10:55,7934
2018-06-15-11:00,7025
2018-06-15-11:05,7015
2018-06-15-11:10,7018
2018-06-15-11:15,6029
2018-06-15-11:20,6035
2018-06-15-11:25,6048
2018-06-15-11:30,6520
2018-06-15-11:35,6513
2018-06-15-11:40,6519
2018-06-15-11:45,6269
2018-06-15-11:50,6273
2018-06-15-11:55,6271
2018-06-15-12:00,4910
2018-06-15-12:05,4913
2018-06-15-12:10,4911
2018-06-15-12:15,4431
2018-06-15-12:20,4434
2018-06-15-12:25,4428
2018-06-15-12:30,3935
2018-06-15-12:35,3922
2018-06-15-12:40,3914
2018-06-15-12:45,3662
2018-06-15-12:50,3655
2018-06-15-12:55,3654
2018-06-15-13:00,3483
2018-06-15-13:05,3494
2018-06-15-13:10,3496
2018-06-15-13:15,3491
2018-06-15-13:20,3486
2018-06-15-13:25,3486
2018-06-15-13:30,1662
2018-06-15-13:35,1662
2018-06-15-13:40,1661
2018-06-15-13:45,3386
2018-06-15-13:50,3381
2018-06-15-13:55,3382
2018-06-15-14:00,3362
2018-06-15-14:05,3348
2018-06-15-14:10,3351
2018-06-15-14:15,3356
2018-06-15-14:20,3358
2018-06-15-14:25,3360
2018-06-15-14:30,1662
2018-06-15-14:35,1669
2018-06-15-14:40,1670
2018-06-15-14:45,884
2018-06-15-14:50,883
2018-06-15-14:55,880
2018-06-15-15:00,878
2018-06-15-15:05,878
2018-06-15-15:10,885
2018-06-15-15:15,881
2018-06-15-15:20,885
2018-06-15-15:25,876
2018-06-15-15:30,876
2018-06-15-15:35,880
2018-06-15-15:40,887
2018-06-15-15:45,883
2018-06-15-15:50,881
2018-06-15-15:55,883
2018-06-15-16:00,882
2018-06-15-16:05,885
2018-06-15-16:10,882
2018-06-15-16:15,885
2018-06-15-16:20,886
2018-06-15-16:25,882
2018-06-15-16:30,1047
2018-06-15-16:35,1055
2018-06-15-16:40,1053
2018-06-15-16:45,1051
2018-06-15-16:50,1053
2018-06-15-16:55,1062
2018-06-15-17:00,1064
2018-06-15-17:05,3089
2018-06-15-17:10,3090
2018-06-15-17:15,3094
2018-06-15-17:20,6209
2018-06-15-17:25,6208
2018-06-15-17:30,6208
2018-06-15-17:35,6210
2018-06-15-17:40,6218
2018-06-15-17:45,6226
2018-06-15-17:50,6920
2018-06-15-17:55,6925
2018-06-15-18:00,6935
2018-06-15-18:05,7536
2018-06-15-18:10,7538
2018-06-15-18:15,7544
2018-06-15-18:20,8238
2018-06-15-18:25,8240
2018-06-15-18:30,8203
2018-06-15-18:35,8118
2018-06-15-18:40,8123
2018-06-15-18:45,8126
2018-06-15-18:50,8720
2018-06-15-18:55,8729
2018-06-15-19:00,8745
2018-06-15-19:05,9719
2018-06-15-19:10,9751
2018-06-15-19:15,9773
2018-06-15-19:20,10159
2018-06-15-19:25,10232
2018-06-15-19:30,10320
2018-06-15-19:35,11998
2018-06-15-19:40,12125
